Sample Number,Pass Number,Simulant Year,Titanium Peak Value,Iron Peak Value,Titanium Content,Iron Content,Titanium (Transformed),Iron (Transformed)
01,00,2025,6301.0,137203.0,0.03726832153840824,-0.3594873744366534,2.208852082569846,0.8737110896104747
01,01,2025,5688.0,137879.0,-0.01810355266744279,-0.341399631361923,2.2066870727442516,0.8737110960724921
01,02,2025,7264.0,171854.0,0.12425545834140098,0.5676700002415777,2.211701982770409,0.8737113513360478
01,03,2025,10368.0,166983.0,0.40463767291719477,0.43733657344126414,2.2180918486504844,0.8737113215512248
02,00,2025,7026.0,136442.0,0.10275707977534462,-0.3798494639039165,2.211050468953499,0.8737110822537415
02,01,2025,8617.0,172726.0,0.24647103060978018,0.5910021185273245,2.214895439129202,0.8737113564781666
02,02,2025,5973.0,168709.0,0.007640304018801166,0.4835191837178688,2.2077335192744085,0.8737113323162424
02,03,2025,9881.0,183593.0,0.3606472932463148,0.8817706155585311,2.2172856005458135,0.8737114161797198
03,00,2025,6002.0,130982.0,0.01025985434827862,-0.5259427733536622,2.207835957757615,0.8737110267770489
03,01,2025,7834.0,183145.0,0.1757431717138889,0.8697834722190648,2.2131442206711442,0.873711413868414
03,02,2025,6529.0,141098.0,0.05786340688740341,-0.2552687956258915,2.209581286094842,0.8737111259338386
03,03,2025,9380.0,184090.0,0.3153923030715491,0.8950688527007515,2.2163940227607877,0.8737114187297136
04,00,2025,5045.0,122937.0,-0.0761853065244774,-0.741202970152784,2.20402125416502,0.8737109353669908
04,01,2025,6659.0,158444.0,0.06960621870919889,0.20885841054907012,2.2099808166162727,0.8737112645835404
04,02,2025,4759.0,104306.0,-0.10201949253242747,-1.2397129423795632,2.202672182125618,0.873710665043952
04,03,2025,10819.0,178080.0,0.4453761970066545,0.7342591842405002,2.218791206207892,0.8737113868685782
05,00,2025,6009.0,142795.0,0.010892159600221454,-0.20986213882438626,2.207860577309187,0.8737111410957378
05,01,2025,7541.0,169286.0,0.14927668045399597,0.4989579821707082,2.212422511969851,0.8737113358625022
05,02,2025,8657.0,171185.0,0.25008420347802496,0.5497695562815264,2.214978703815428,0.8737113473529134
05,03,2025,11169.0,230081.0,0.4769914596037962,2.125650793159224,2.2193055791957375,0.873711604093663
06,00,2025,7253.0,135432.0,0.12326183580263367,-0.4068740504504812,2.2116725528304815,0.8737110723529037
06,01,2025,7677.0,154310.0,0.16156146820602818,0.09824490482283402,2.2127624460851267,0.8737112345687034
06,02,2025,5872.0,141412.0,-0.0014829574735168675,-0.24686709248171199,2.20737107121523,0.8737111287687066
06,03,2025,12741.0,284722.0,0.6189891533258155,3.587680925328374,2.221357563855041,0.8737117420585514
07,00,2025,6253.0,134647.0,0.03293251409651452,-0.42787830831093,2.2086936989943076,0.8737110645476475
07,01,2025,6942.0,152278.0,0.09516941675203061,0.04387464753311178,2.2108128665750115,0.8737112191740195
07,02,2025,6043.0,137353.0,0.013963356538229506,-0.35547382197924277,2.2079795717976705,0.8737110910502426
07,03,2025,11139.0,259208.0,0.4742815799526126,2.9050024093392137,2.2192624064003073,0.8737116853935992
08,00,2025,6968.0,144710.0,0.09751797911638971,-0.1586224524514443,2.210886851766395,0.8737111577478635
